run_et,session,seen_close,intraday_frontier_utc,prev_close,prev_close_ts
2026-07-24T21:13-0400,2026-07-24,4034.14,2026-07-24T06:51Z,4047.18,NA
2026-07-27T18:14-0400,2026-07-27,4096.66,2026-07-27T06:50Z,4094.28,NA
2026-07-28T18:13-0400,2026-07-28,4049.38,2026-07-28T06:51Z,4073.41,NA
2026-07-29T18:08-0400,2026-07-29,4041.87,2026-07-29T06:50Z,4024.98,NA
2026-07-30T18:15-0400,2026-07-30,4036.27,2026-07-30T06:50Z,4084.74,NA
2026-07-31T18:13-0400,2026-07-31,4077.56,2026-07-31T06:50Z,4105.99,NA
2026-08-03T18:14-0400,2026-08-03,4063.49,2026-08-03T06:50Z,4075.02,NA
2026-08-04T18:19-0400,2026-08-04,4062.20,2026-08-04T06:50Z,4053.6567,NA
2026-08-05T18:17-0400,2026-08-05,4174.57,2026-08-05T06:50Z,4072.6,NA
2026-08-06T21:02-0400,2026-08-06,4254.80,2026-08-06T06:50Z,4278.2,NA
2026-08-07T17:50-0400,2026-08-07,4338.40,2026-08-07T17:24Z,4252.44,NA
2026-08-10T17:52-0400,2026-08-10,4356.74,2026-08-10T06:50Z,4332.84,NA
2026-08-11T17:57-0400,2026-08-11,4366.76,2026-08-11T06:50Z,4402.1184,NA
2026-08-12T17:57-0400,2026-08-12,4400.32,2026-08-12T06:50Z,4371.3382,NA
2026-08-13T17:56-0400,2026-08-13,4379.12,2026-08-13T06:50Z,4414.0562,NA
2026-08-14T17:34-0400,2026-08-14,4334.77,2026-08-14T06:50Z,4356.9876,NA
